VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01/01/2024 0:57,01/01/2024 1:17,1,1.72,1,N,186,79,2,17.7,1,0.5,0,0,1,22.7,2.5,0
1,01/01/2024 0:03,01/01/2024 0:09,1,1.8,1,N,140,236,1,10,3.5,0.5,3.75,0,1,18.75,2.5,0
1,01/01/2024 0:17,01/01/2024 0:35,1,4.7,1,N,236,79,1,23.3,3.5,0.5,3,0,1,31.3,2.5,0
1,01/01/2024 0:36,01/01/2024 0:44,1,1.4,1,N,79,211,1,10,3.5,0.5,2,0,1,17,2.5,0
1,01/01/2024 0:46,01/01/2024 0:52,1,0.8,1,N,211,148,1,7.9,3.5,0.5,3.2,0,1,16.1,2.5,0
1,01/01/2024 0:54,01/01/2024 1:26,1,4.7,1,N,148,141,1,29.6,3.5,0.5,6.9,0,1,41.5,2.5,0
2,01/01/2024 0:49,01/01/2024 1:15,2,10.82,1,N,138,181,1,45.7,6,0.5,10,0,1,64.95,0,1.75
1,01/01/2024 0:30,01/01/2024 0:58,0,3,1,N,246,231,2,25.4,3.5,0.5,0,0,1,30.4,2.5,0
2,01/01/2024 0:26,01/01/2024 0:54,1,5.44,1,N,161,261,2,31,1,0.5,0,0,1,36,2.5,0
2,01/01/2024 0:28,01/01/2024 0:29,1,0.04,1,N,113,113,2,3,1,0.5,0,0,1,8,2.5,0
2,01/01/2024 0:35,01/01/2024 0:41,2,0.75,1,N,107,137,1,7.9,1,0.5,0,0,1,12.9,2.5,0
1,01/01/2024 0:25,01/01/2024 0:34,2,1.2,1,N,158,246,1,14.9,3.5,0.5,3.95,0,1,23.85,2.5,0
1,01/01/2024 0:35,01/01/2024 1:11,2,8.2,1,N,246,190,1,59,3.5,0.5,14.15,6.94,1,85.09,2.5,0
1,01/01/2024 0:43,01/01/2024 0:47,2,0.4,1,N,68,90,1,5.8,3.5,0.5,1.25,0,1,12.05,2.5,0
1,01/01/2024 0:51,01/01/2024 0:55,1,0.8,1,N,90,68,2,6.5,3.5,0.5,0,0,1,11.5,2.5,0
1,01/01/2024 0:50,01/01/2024 1:03,1,5,1,N,132,216,2,21.2,2.75,0.5,0,0,1,25.45,0,1.75
1,01/01/2024 0:41,01/01/2024 0:53,1,1.5,1,N,164,79,1,12.8,3.5,0.5,4.45,0,1,22.25,2.5,0
